,precision,recall,f1-score,support
Blight,0.44680851063829785,0.8217391304347826,0.5788667687595712,230.0
Common_Rust,0.8741258741258742,0.9541984732824428,0.9124087591240876,262.0
Gray_Leaf_Spot,0.4580152671755725,0.5217391304347826,0.4878048780487805,115.0
Healthy,0.0,0.0,0.0,233.0
accuracy,0.594047619047619,0.594047619047619,0.594047619047619,0.594047619047619
macro avg,0.4447374129849361,0.574419183538002,0.49477010148310985,840.0
weighted avg,0.4576889192773552,0.594047619047619,0.5098666817628835,840.0
