,precision,recall,f1-score,support
Blight,0.9070796460176991,0.8913043478260869,0.8991228070175439,230.0
Common_Rust,0.9921259842519685,0.9618320610687023,0.9767441860465116,262.0
Gray_Leaf_Spot,0.7619047619047619,0.8347826086956521,0.7966804979253111,115.0
Healthy,0.9957264957264957,1.0,0.9978586723768736,233.0
accuracy,0.9357142857142857,0.9357142857142857,0.9357142857142857,0.9357142857142857
macro avg,0.9142092219752314,0.9219797543976104,0.9176015408415601,840.0
weighted avg,0.9383198185492948,0.9357142857142857,0.9366958931945756,840.0
